_id,Date,Gender,Race,Age at Booking,Current Age
187,2018-08-06,M,B,55,56
188,2018-08-06,M,B,31,32
189,2018-08-06,M,B,23,24
190,2018-08-06,M,B,28,29
191,2018-08-06,M,B,39,40
192,2018-08-06,M,B,25,26
193,2018-08-06,M,W,37,38
194,2018-08-06,M,W,24,25
195,2018-08-06,M,B,47,48
196,2018-08-06,M,W,28,29
197,2018-08-06,M,B,35,36
198,2018-08-06,M,B,22,23
199,2018-08-06,M,B,20,20
200,2018-08-06,M,B,28,29
201,2018-08-06,M,B,41,42
202,2018-08-06,M,W,33,33
203,2018-08-06,M,B,28,29
204,2018-08-06,M,B,26,26
205,2018-08-06,M,B,18,18
206,2018-08-06,M,B,26,26
207,2018-08-06,M,B,18,18
208,2018-08-06,M,W,21,21
209,2018-08-06,M,W,61,61
210,2018-08-06,M,W,30,30
211,2018-08-06,M,W,30,31
212,2018-08-06,M,W,25,26
213,2018-08-06,M,B,25,26
214,2018-08-06,M,B,21,21
215,2018-08-06,M,W,25,25
216,2018-08-06,M,B,20,20
217,2018-08-06,M,B,29,29
218,2018-08-06,M,B,20,20
219,2018-08-06,M,W,47,47
220,2018-08-06,M,B,33,33
221,2018-08-06,M,W,27,27
222,2018-08-06,M,B,27,27
223,2018-08-06,M,W,38,38
224,2018-08-06,M,B,22,22
225,2018-08-06,M,H,21,21
226,2018-08-06,M,B,37,37
227,2018-08-06,M,W,39,39
228,2018-08-06,M,B,19,20
229,2018-08-06,M,B,36,36
230,2018-08-06,M,B,20,21
231,2018-08-06,M,B,24,25
232,2018-08-06,M,W,25,25
233,2018-08-06,M,x,21,21
234,2018-08-06,M,B,26,26
235,2018-08-06,M,B,46,46
236,2018-08-06,M,B,29,29
237,2018-08-06,M,W,43,43
238,2018-08-06,M,B,30,30
239,2018-08-06,M,W,26,26
240,2018-08-06,M,W,24,24
241,2018-08-06,M,W,45,45
242,2018-08-06,M,W,36,36
243,2018-08-06,M,W,42,42
244,2018-08-06,M,B,54,54
245,2018-08-06,M,B,55,55
246,2018-08-06,M,W,59,59
247,2018-08-06,M,W,54,54
248,2018-08-06,M,B,31,31
249,2018-08-06,M,B,27,27
250,2018-08-06,M,B,19,19
251,2018-08-06,M,W,32,32
252,2018-08-06,M,W,38,38
253,2018-08-06,M,B,38,38
254,2018-08-06,M,W,29,30
255,2018-08-06,M,W,37,37
256,2018-08-06,M,W,38,38
257,2018-08-06,M,B,19,19
258,2018-08-06,M,B,37,37
259,2018-08-06,M,B,56,56
260,2018-08-06,M,W,49,49
261,2018-08-06,M,W,25,25
262,2018-08-06,M,W,30,30
263,2018-08-06,M,W,28,28
264,2018-08-06,M,B,27,27
265,2018-08-06,M,B,25,27
266,2018-08-06,M,W,29,30
267,2018-08-06,M,B,41,42
268,2018-08-06,M,B,23,24
269,2018-08-06,M,W,49,50
270,2018-08-06,M,B,28,28
271,2018-08-06,M,B,33,33
272,2018-08-06,M,B,26,26
273,2018-08-06,M,B,35,36
274,2018-08-06,M,B,19,19
275,2018-08-06,M,W,52,53
276,2018-08-06,M,B,36,37
277,2018-08-06,M,B,20,21
278,2018-08-06,M,W,21,22
279,2018-08-06,M,W,28,29
280,2018-08-06,M,B,37,37
281,2018-08-06,M,B,18,18
282,2018-08-06,M,B,23,23
283,2018-08-06,M,B,22,22
284,2018-08-06,M,B,23,23
285,2018-08-06,M,W,23,23
286,2018-08-06,M,W,26,27
287,2018-08-06,M,B,48,48
288,2018-08-06,M,W,23,24
289,2018-08-06,M,W,43,43
290,2018-08-06,M,B,38,39
291,2018-08-06,M,B,61,61
292,2018-08-06,M,B,37,37
293,2018-08-06,M,B,38,38
294,2018-08-06,M,W,24,24
295,2018-08-06,M,W,40,40
296,2018-08-06,M,B,49,50
297,2018-08-06,M,W,41,41
298,2018-08-06,M,W,47,47
299,2018-08-06,M,B,25,25
300,2018-08-06,M,W,19,19
301,2018-08-06,M,W,25,25
302,2018-08-06,M,W,38,38
303,2018-08-06,M,B,32,32
304,2018-08-06,M,W,53,53
305,2018-08-06,M,W,35,35
306,2018-08-06,M,W,44,44
307,2018-08-06,M,W,38,38
308,2018-08-06,M,B,43,43
309,2018-08-06,M,B,43,43
310,2018-08-06,M,W,57,57
311,2018-08-06,M,W,42,43
312,2018-08-06,M,B,49,49
313,2018-08-06,M,W,25,25
314,2018-08-06,M,,53,53
315,2018-08-06,M,B,28,28
316,2018-08-06,M,W,45,45
317,2018-08-06,M,W,28,28
318,2018-08-06,M,W,51,51
319,2018-08-06,M,B,26,26
320,2018-08-06,M,W,32,32
321,2018-08-06,M,W,37,37
322,2018-08-06,M,B,32,32
323,2018-08-06,M,B,36,36
324,2018-08-06,M,B,19,19
325,2018-08-06,M,B,51,51
326,2018-08-06,M,W,37,37
327,2018-08-06,M,W,34,34
328,2018-08-06,M,W,44,44
329,2018-08-06,M,U,28,28
330,2018-08-06,M,W,57,57
331,2018-08-06,M,W,23,23
332,2018-08-06,M,B,23,23
333,2018-08-06,M,B,38,38
334,2018-08-06,M,B,25,25
335,2018-08-06,M,W,39,39
336,2018-08-06,M,B,48,48
337,2018-08-06,M,W,36,36
338,2018-08-06,M,W,35,35
339,2018-08-06,M,B,26,26
340,2018-08-06,M,W,53,53
341,2018-08-06,M,W,49,49
342,2018-08-06,M,B,22,22
343,2018-08-06,M,B,30,30
344,2018-08-06,M,H,37,37
345,2018-08-06,M,x,25,25
346,2018-08-06,M,W,42,42
347,2018-08-06,M,B,22,23
348,2018-08-06,M,B,36,38
349,2018-08-06,M,W,29,30
350,2018-08-06,M,B,49,50
351,2018-08-06,M,W,43,44
352,2018-08-06,M,B,21,22
353,2018-08-06,M,W,17,18
354,2018-08-06,M,W,37,38
355,2018-08-06,M,W,30,31
356,2018-08-06,M,B,22,22
357,2018-08-06,M,B,35,35
358,2018-08-06,M,B,35,36
359,2018-08-06,M,B,53,54
360,2018-08-06,M,B,21,22
361,2018-08-06,M,B,23,24
362,2018-08-06,M,B,34,35
363,2018-08-06,M,W,52,53
364,2018-08-06,M,B,29,30
365,2018-08-06,M,B,30,31
366,2018-08-06,M,B,27,28
367,2018-08-06,M,B,38,39
368,2018-08-06,M,B,62,63
